days,dam_heights
1,100
2,102.265402
3,158.637015
4,167.6455069
5,205.0305921
6,229.3052143
7,251.0380222
8,260.4808048
9,274.7481978
10,290.5991046
11,300
12,300
13,300
14,294.356748
15,287.1854402
16,279.8182144
17,270.7904797
18,263.6083429
19,261.3293774
20,272.9681053
21,276.2092459
22,285.4965052
23,299.9079621
24,300
25,300
26,300
27,300
28,299.3284714
29,300
30,299.4717424
31,299.2541346
32,296.418049
33,286.3060498
34,276.3228029
35,265.7204718
36,255.0769659
37,244.3860313
38,233.6398346
39,222.8283709
40,211.9385603
41,200.9528112
42,189.8562931
43,178.6533866
44,167.3234195
45,155.8388262
46,144.1622558
47,132.2413381
48,119.9993787
49,107.3174152
50,93.9955787
51,79.6553791
52,63.4184257
53,42.0599025
54,0
55,0
56,0
57,0
58,0
59,0
60,72.2657042
61,108.0754685
62,160.8961618
63,169.6428973
64,195.360279
65,206.860191
66,218.0917592
67,241.3155632
68,257.2454201
69,263.058268
70,268.3671535
71,271.9837502
72,268.5495708
73,265.8822139
74,256.5703571
75,245.8864955
76,235.1485837
77,224.3469662
78,213.4690648
79,202.498036
80,191.4163045
81,180.2293983
82,168.9187063
83,157.4577494
84,149.5955562
85,158.4583454
86,166.7781085
87,182.5688131
88,204.0198922
89,224.2630884
90,229.7016841
91,250.8831276
92,257.8418532
93,275.3725993
94,289.4745407
95,300
96,298.2091799
97,300
98,300
99,295.2489321
100,284.8355054
101,277.5049406
